"PUBID","P5-101","CV_HH_POV_RATIO","YAST25-3310_COMB","YAST25-3320_COMB","CVC_TTL_RESIDENCES"
1,2,-3,5,1,1
2,-4,-4,4,-4,-4
3,2,583,4,-4,13
4,2,108,4,-4,5
5,2,-3,1,-4,9
6,2,-3,4,-4,9
7,2,-3,4,-4,7
8,1,-3,4,-4,10
9,1,-3,5,1,3
10,1,-3,4,-4,2
11,2,198,4,-4,8
12,2,0,4,-4,5
13,-4,-4,4,-4,-4
14,2,0,-4,-4,3
15,-4,-4,5,97,-4
16,2,120,5,1,5
17,2,14,-4,-4,7
18,2,0,4,-4,10
19,2,0,5,1,9
20,2,-3,-4,-4,10
21,2,0,4,-4,5
22,2,-3,4,-4,5
23,2,-3,4,-4,6
24,2,-3,5,1,9
25,2,0,4,-4,5
26,2,-3,4,-4,8
27,2,-3,4,-4,10
28,2,82,5,1,3
29,2,-3,-4,-4,2
30,1,-3,-4,-4,1
31,-4,-4,4,-4,-4
32,-4,-4,4,-4,-4
33,1,-3,5,1,1
34,2,60,5,1,2
35,-4,-4,5,1,-4
36,2,255,4,-4,14
37,1,299,4,-4,10
38,1,299,4,-4,6
39,1,-3,5,1,8
40,-4,-4,-4,-4,-4
41,-4,-4,4,-4,-4
42,-4,-4,5,1,-4
43,2,-3,5,1,14
44,3,0,5,2,1
45,2,-3,4,-4,11
46,2,-3,-4,-4,-3
47,2,44,4,-4,15
48,2,44,4,-4,8
49,2,-3,4,-4,8
50,2,-3,4,-4,10
51,2,20,4,-4,9
52,2,20,4,-4,8
53,2,-3,5,1,9
54,2,-3,4,-4,9
55,1,-3,5,1,5
56,1,696,1,-4,6
57,2,0,5,1,1
58,2,160,4,-4,8
59,1,181,4,-4,9
60,2,302,5,1,13
61,2,-3,5,1,5
62,1,943,4,-4,12
63,1,943,4,-4,11
64,-4,317,5,1,-4
65,1,-3,5,1,2
66,1,-3,5,1,2
67,1,-3,5,1,3
68,1,-3,4,-4,7
69,1,-3,2,-4,7
70,1,-3,5,1,7
71,2,241,4,-4,3
72,-4,-4,-4,-4,-4
73,-4,-4,-4,-4,-4
74,1,-3,4,-4,14
75,-4,-4,1,-4,-4
76,-4,-4,5,1,-4
77,2,223,-4,-4,1
78,2,-3,5,1,4
79,2,-3,4,-4,12
80,2,188,5,97,3
81,2,29,5,1,1
82,2,-3,4,-4,6
83,2,-3,5,1,1
84,2,-3,4,-4,9
85,2,75,4,-4,17
86,2,-3,4,-4,6
87,2,267,4,-4,9
88,-4,-4,-4,-4,-4
89,-4,-4,5,2,-4
90,2,-3,4,-4,4
91,2,-3,4,-4,4
92,2,236,5,1,1
93,2,182,4,-4,11
94,2,162,4,-4,8
95,2,211,4,-4,7
96,2,475,4,-4,5
97,2,250,5,1,3
98,-4,-4,5,97,-4
99,2,-3,-4,-4,3
100,2,240,4,-4,8
101,2,-3,4,-4,8
102,1,427,5,2,4
103,1,427,-4,-4,1
104,1,361,4,-4,9
105,1,361,1,-4,2
106,1,580,4,-4,3
107,1,644,4,-4,14
108,1,644,4,-4,10
109,1,365,4,-4,6
110,1,365,5,1,2
111,1,322,5,1,4
112,-4,-4,-4,-4,-4
113,2,361,4,-4,9
114,1,607,5,1,3
115,1,-3,-4,-4,5
116,2,199,5,97,8
117,2,199,5,10,8
118,1,599,5,1,1
119,1,1627,5,1,5
120,-4,-4,-4,-4,-4
121,1,490,5,1,4
122,1,490,4,-4,7
123,-4,-4,-4,-4,-4
124,-4,-4,-4,-4,-4
125,1,-3,-4,-4,1
126,-4,-4,4,-4,-4
127,-4,-4,5,1,-4
128,1,736,4,-4,9
129,-4,-4,-4,-4,-4
130,-4,-4,5,1,-4
131,1,318,-4,-4,1
132,1,264,5,1,4
133,1,322,5,1,2
134,-4,-4,-4,-4,-4
135,1,666,4,-4,7
136,1,-3,5,1,6
137,-4,31,1,-4,8
138,1,-3,4,-4,-3
139,1,1627,-4,-4,2
140,3,260,5,1,2
141,2,-3,-4,-4,3
142,2,207,4,-4,11
